timestamps population node_ids
1822.4999999989902 LUT 7
1884.9999999989334 LUT 7
1948.099999998876 LUT 7
1999.4999999988293 LUT 7
1034.1999999997072 LUT 8
1076.299999999669 LUT 8
1144.299999999607 LUT 8
1219.5999999995386 LUT 8
1260.999999999501 LUT 8
1356.599999999414 LUT 8
1426.7999999993501 LUT 8
1501.2999999992824 LUT 8
1578.599999999212 LUT 8
1635.3999999991604 LUT 8
1702.799999999099 LUT 8
1774.5999999990338 LUT 8
1830.499999998983 LUT 8
1893.099999998926 LUT 8
1956.1999999988686 LUT 8
1065.199999999679 LUT 11
1131.9999999996182 LUT 11
1207.9999999995491 LUT 11
1276.9999999994864 LUT 11
1344.9999999994245 LUT 11
1414.9999999993609 LUT 11
1489.9999999992926 LUT 11
1566.9999999992226 LUT 11
1624.9999999991699 LUT 11
1690.9999999991098 LUT 11
1762.9999999990443 LUT 11
1817.9999999989943 LUT 11
1881.1999999989368 LUT 11
1944.1999999988795 LUT 11
2007.0999999988223 LUT 0
2236.1999999994696 LUT 0
2009.9999999988197 LUT 1
2092.9999999989486 LUT 1
2158.9999999991887 LUT 1
2241.9999999994907 LUT 1
2303.099999999713 LUT 1
2359.99999999992 LUT 1
2440.000000000211 LUT 1
2506.000000000451 LUT 1
2590.0000000007567 LUT 1
2663.0000000010223 LUT 1
2723.0000000012406 LUT 1
2787.1000000014737 LUT 1
2851.1000000017066 LUT 1
2922.0000000019645 LUT 1
2912.9000000019314 LUT 2
2099.699999998973 LUT 3
2166.0999999992146 LUT 3
2242.9999999994943 LUT 3
2310.0999999997384 LUT 3
2367.2999999999465 LUT 3
2446.8000000002357 LUT 3
2513.100000000477 LUT 3
2596.700000000781 LUT 3
2669.9000000010474 LUT 3
2730.2000000012667 LUT 3
2794.2000000014996 LUT 3
2858.2000000017324 LUT 3
2919.2000000019543 LUT 3
2013.0999999988169 LUT 4
2241.3999999994885 LUT 4
2922.0000000019645 LUT 5
2016.199999998814 LUT 6
2099.199999998971 LUT 6
2165.1999999992113 LUT 6
2248.1999999995132 LUT 6
2309.2999999997355 LUT 6
2366.1999999999425 LUT 6
2446.2000000002336 LUT 6
2512.2000000004737 LUT 6
2596.2000000007793 LUT 6
2669.200000001045 LUT 6
2729.200000001263 LUT 6
2793.3000000014963 LUT 6
2857.300000001729 LUT 6
2928.200000001987 LUT 6
2104.1999999989894 LUT 7
2170.9999999992324 LUT 7
2246.8999999995085 LUT 7
2314.9999999997563 LUT 7
2372.399999999965 LUT 7
2451.4000000002525 LUT 7
2518.0000000004948 LUT 7
2601.2000000007974 LUT 7
2674.6000000010645 LUT 7
2735.200000001285 LUT 7
2799.1000000015174 LUT 7
2863.1000000017502 LUT 7
2923.200000001969 LUT 7
2007.5999999988219 LUT 8
2112.1999999990185 LUT 8
2178.9999999992615 LUT 8
2254.8999999995376 LUT 8
2322.9999999997854 LUT 8
2380.399999999994 LUT 8
2459.4000000002816 LUT 8
2526.000000000524 LUT 8
2609.2000000008265 LUT 8
2682.6000000010936 LUT 8
2743.3000000013144 LUT 8
2807.200000001547 LUT 8
2871.2000000017797 LUT 8
2931.200000001998 LUT 8
2019.3999999988112 LUT 11
2100.9999999989777 LUT 11
2166.999999999218 LUT 11
2249.99999999952 LUT 11
2311.1999999997424 LUT 11
2367.999999999949 LUT 11
2448.00000000024 LUT 11
2514.00000000048 LUT 11
2598.000000000786 LUT 11
2671.0000000010514 LUT 11
2731.0000000012697 LUT 11
2795.200000001503 LUT 11
2859.200000001736 LUT 11
3056.500000002454 LUT 0
3092.000000002583 LUT 0
3210.500000003014 LUT 0
3340.3000000034863 LUT 0
3810.500000005197 LUT 0
3834.8000000052853 LUT 0
3001.000000002252 LUT 1
3067.000000002492 LUT 1
3137.0000000027467 LUT 1
3216.000000003034 LUT 1
3283.000000003278 LUT 1
3365.000000003576 LUT 1
3430.0000000038126 LUT 1
3502.0000000040745 LUT 1
3570.000000004322 LUT 1
3639.000000004573 LUT 1
3690.100000004759 LUT 1
3751.1000000049808 LUT 1
3810.000000005195 LUT 1
3869.0000000054097 LUT 1
3934.1000000056465 LUT 1
3908.900000005555 LUT 2
3007.7000000022763 LUT 3
3063.8000000024804 LUT 3
3101.7000000026183 LUT 3
3145.5000000027776 LUT 3
3217.60000000304 LUT 3
3289.900000003303 LUT 3
3347.600000003513 LUT 3
3436.6000000038366 LUT 3
3508.9000000040996 LUT 3
3577.0000000043474 LUT 3
3646.0000000045984 LUT 3
3697.7000000047865 LUT 3
3758.4000000050073 LUT 3
3815.1000000052136 LUT 3
3875.6000000054337 LUT 3
3915.9000000055803 LUT 3
3061.7000000024727 LUT 4
3097.9000000026044 LUT 4
3215.9000000030337 LUT 4
3345.6000000035056 LUT 4
3815.7000000052158 LUT 4
3841.000000005308 LUT 4
3918.000000005588 LUT 5
3007.2000000022745 LUT 6
3073.2000000025146 LUT 6
3143.2000000027692 LUT 6
3222.2000000030566 LUT 6
3289.2000000033004 LUT 6
3371.2000000035987 LUT 6
3436.200000003835 LUT 6
3508.200000004097 LUT 6
3576.2000000043445 LUT 6
3645.2000000045955 LUT 6
3696.3000000047814 LUT 6
3757.3000000050033 LUT 6
3816.2000000052176 LUT 6
3875.2000000054322 LUT 6
3940.300000005669 LUT 6
