node_ids timestamps
4 7056.0
4 7118.0
4 7180.0
4 7249.0
4 7318.0
4 7388.0
4 7461.0
4 7537.0
4 7592.0
4 7647.0
4 7716.0
4 7790.0
4 7867.0
4 7927.0
4 7994.0
4 8062.0
4 9038.0
5 1008.0
5 1972.0
5 3001.0
5 3994.0
5 4945.0
5 5947.0
5 6141.0
5 6229.0
5 6304.0
5 6382.0
5 6460.0
5 6507.0
5 6567.0
5 6632.0
5 6691.0
5 6749.0
5 6813.0
5 6894.0
5 6970.0
5 7035.0
5 7095.0
5 7169.0
5 7238.0
5 7304.0
5 7375.0
5 7438.0
5 7499.0
5 7559.0
5 7625.0
5 7696.0
5 7772.0
5 7840.0
5 7914.0
5 7982.0
5 8048.0
5 9098.0
6 1002.0
6 1973.0
6 2983.0
6 3961.0
6 4970.0
6 5989.0
6 6140.0
6 6210.0
6 6253.0
6 6310.0
6 6372.0
6 6433.0
6 6511.0
6 6588.0
6 6661.0
6 6735.0
6 6804.0
6 6848.0
6 6908.0
6 6979.0
6 7048.0
6 7108.0
6 7160.0
6 7224.0
6 7297.0
6 7364.0
6 7438.0
6 7490.0
6 7553.0
6 7624.0
6 7710.0
6 7784.0
6 7842.0
6 7898.0
6 7953.0
6 8010.0
6 8085.0
6 9121.0
7 983.0
7 1970.0
7 2929.0
7 3909.0
7 4972.0
7 5984.0
7 6138.0
7 6200.0
7 6267.0
7 6341.0
7 6390.0
7 6451.0
7 6509.0
7 6579.0
7 6644.0
7 6720.0
7 6782.0
7 6848.0
7 6909.0
7 6974.0
7 7048.0
7 7111.0
7 7181.0
7 7242.0
7 7312.0
7 7373.0
7 7446.0
7 7520.0
7 7581.0
7 7638.0
7 7712.0
7 7764.0
7 7841.0
7 7902.0
7 7974.0
7 8024.0
7 8101.0
7 9135.0
8 1041.0
8 2054.0
8 3039.0
8 4001.0
8 5025.0
8 6002.0
8 6135.0
8 6226.0
8 6297.0
8 6355.0
8 6414.0
8 6477.0
8 6533.0
8 6598.0
8 6674.0
8 6739.0
8 6797.0
8 6852.0
8 6917.0
8 6980.0
8 7033.0
8 7103.0
8 7163.0
8 7231.0
8 7296.0
8 7368.0
8 7439.0
8 7496.0
8 7570.0
8 7633.0
8 7698.0
8 7771.0
8 7838.0
8 7909.0
8 7964.0
8 8029.0
8 8091.0
8 9162.0
9 976.0
9 1993.0
9 2984.0
9 3922.0
9 4901.0
9 5912.0
9 6132.0
9 6193.0
9 6255.0
9 6322.0
9 6383.0
9 6453.0
9 6518.0
9 6583.0
9 6646.0
9 6702.0
9 6767.0
9 6826.0
9 6899.0
9 6962.0
9 7020.0
9 7078.0
9 7155.0
9 7230.0
9 7293.0
9 7366.0
9 7419.0
9 7473.0
9 7538.0
9 7591.0
9 7644.0
9 7717.0
9 7786.0
9 7856.0
9 7928.0
9 7982.0
9 8037.0
9 8103.0
9 9097.0
10 973.0
10 1919.0
10 2930.0
10 3956.0
10 4890.0
10 5930.0
10 6138.0
10 6205.0
10 6279.0
