node_ids timestamps
3 1609.0
3 1794.0
3 1988.0
3 2122.0
3 2261.0
3 2432.0
3 2592.0
3 2746.0
3 2884.0
3 3047.0
3 3207.0
3 3348.0
3 3492.0
3 3615.0
3 3718.0
3 3825.0
3 3914.0
3 4033.0
3 4154.0
3 4273.0
3 4397.0
3 4500.0
3 4627.0
3 4702.0
3 4782.0
3 4855.0
3 4952.0
3 5019.0
3 5103.0
3 5201.0
3 5290.0
3 5386.0
3 5478.0
3 5551.0
3 5630.0
3 5687.0
3 5763.0
3 5827.0
3 5893.0
3 5955.0
3 6013.0
3 6075.0
3 6148.0
3 6192.0
3 6247.0
3 6296.0
3 6345.0
3 6385.0
3 6433.0
3 6488.0
3 6537.0
3 6582.0
3 6637.0
3 6674.0
3 6717.0
3 6761.0
3 6806.0
3 6849.0
3 6895.0
3 6938.0
3 6977.0
3 7011.0
3 7045.0
3 7071.0
3 7100.0
3 7133.0
3 7172.0
3 7201.0
3 7227.0
3 7252.0
3 7277.0
3 7307.0
3 7335.0
3 7541.0
3 7758.0
3 7979.0
3 8169.0
3 8366.0
3 8551.0
3 8757.0
3 8941.0
3 9118.0
3 9275.0
3 9477.0
3 9670.0
3 9882.0
4 200.0
4 410.0
4 647.0
4 865.0
4 1032.0
4 1242.0
4 1436.0
4 1630.0
4 1841.0
4 2011.0
4 2196.0
4 2345.0
4 2494.0
4 2652.0
4 2797.0
4 2946.0
4 3099.0
4 3244.0
4 3397.0
4 3549.0
4 3670.0
4 3795.0
4 3895.0
4 4006.0
4 4113.0
4 4220.0
4 4326.0
4 4452.0
4 4566.0
4 4673.0
4 4738.0
4 4838.0
4 4916.0
4 5011.0
4 5092.0
4 5184.0
4 5279.0
4 5361.0
4 5470.0
4 5554.0
4 5622.0
4 5691.0
4 5763.0
4 5831.0
4 5882.0
4 5946.0
4 6014.0
4 6084.0
4 6141.0
4 6209.0
4 6264.0
4 6311.0
4 6355.0
4 6394.0
4 6441.0
4 6490.0
4 6542.0
